category,date,link,summery,title
health,2016-10-27T08:17:34 GMT,https://www.express.pk/story/637029,آلو اپنے فوائد کے اعتبار سے دنیا کی مفید ترین سبزیوں میں بھی شمارہوتا ہے,آلوکے وہ فوائد جن سے ہم اب تک لاعلم تھے
health,2016-10-27T04:31:18 GMT,https://www.express.pk/story/636096,جھوٹ بولنے سے دماغ پر برے اثرات پڑتے ہیں جن کی وجہ سے دماغ آہستہ آہستہ بے حس ہوتا چلا جاتا ہے۔,جھوٹ بولنے سے دماغ بے حس ہوجاتا ہے، تحقیق
health,2016-10-26T08:40:37 GMT,https://www.express.pk/story/636839,ہمارے روز مرہ کھانوں میں شامل کئی چیزیں ایسی ہیں جن کا مناسب استعمال ہمیں موسمی بیماریوں سے بچاسکتا ہے,موسم سرما میں مختلف بیماریوں سے بچاؤ کے گھریلو ٹوٹکے
health,2016-10-26T04:18:50 GMT,https://www.express.pk/story/635943,معمول سے صرف ایک گھنٹہ پہلے جاگ کر آپ اپنی صحت، کام اور گھریلو زندگی میں خوبصورت انقلاب لاسکتے ہیں۔,روزانہ جلدی جاگنے کے وہ 7 فائدے جو آپ کی زندگی بدل سکتے ہیں
health,2016-10-25T12:04:37 GMT,https://www.express.pk/story/636187,مولی قبض کشا بھی ہے او اس کے کھانےسے آنتوں کی حرکتیں تیز ہوجاتی ہیں جو قبض میں مبتلامریضوں کے لئے افاقے کا سبب بنتی ہے,مولی کے وہ فوائد جن سے ہم اب تک لاعلم تھے
health,2016-10-25T05:00:04 GMT,https://www.express.pk/story/635322,کھانوں میں لہسن، ٹماٹر، مچھلی ، سبز چائے اور دارچینی دل کے لیے انتہائی مفید ثابت ہوتی ہیں۔,دل کو صحتمند رکھنے والی کم خرچ غذائیں
health,2016-10-24T04:05:42 GMT,https://www.express.pk/story/634378, ٹائپ ٹو ذیابیطس کے شکار افراد کے لیے ضروری ہے کہ وہ کاربوہائیڈریٹس، چکنائیوں اور پروٹین کا خاص خیال رکھیں,ذیابیطس کو قابومیں رکھنے کے 5 سادہ طریقے
health,2016-10-24T04:02:40 GMT,https://www.express.pk/story/634568,وقت بے وقت کھانا پینا اور ’فاسٹ فوڈ‘ کی عادت مُٹاپے کے بڑے سبب ہیں۔,ان غفلتوں کا تذکرہ جو ہمیں موٹا کر رہی ہیں
health,2016-10-23T03:35:22 GMT,https://www.express.pk/story/633004,سافٹ ڈرنکس میں موجود شکرکی غیرمعمولی مقدارموٹا پے کی جانب بھی لے جاتی ہے، ماہرین,روزانہ 2 سافٹ ڈرنکس پینے سے ذیابیطس کا خطرہ دُگنا ہوجاتا ہے، تحقیق
health,2016-10-22T21:45:39 GMT,https://www.express.pk/story/633784,9 میں سے ایک خاتون اس مہلک مرض میں مبتلا ہے، جلد تشخیص ہوجانے سے علاج ممکن ہے، ڈاکٹرسلیم سومرو,سالانہ 40 ہزار خواتین چھاتی کے سرطان کا شکار ہوجاتی ہیں، مقررین
